sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK isoform (mito),no TRAK vs TRAK2,diff_p3_n2,0.28241442054878285,-35.15976805738122,-39.63234103253861,16,28,0.557702202604098,0.9134744577081901
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p3_n2,0.7790464312429556,0.06439840189292911,0.022588076046782684,16,28,0.42527958627021234,0.8101678048129894
TRAK isoform (mito),no TRAK vs TRAK2,diff_p3_n3,0.301311798223762,-45.75327061888483,-50.92572714357727,16,28,0.5593220086502422,0.91442161554501
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p3_n3,0.7759781610546783,0.04988529416420637,0.017316692543634337,16,28,0.41461677489414894,0.7994046695662689
TRAK isoform (mito),no TRAK vs TRAK2,diff_p3_n4,0.3214059273258868,-55.06146217443876,-60.64154832465641,16,28,0.5559826554805489,0.9124613579117266
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p3_n4,0.7637970297680415,0.0409487042252259,0.014351432032066559,16,28,0.4189874493986776,0.8038643489448458
TRAK isoform (mito),no TRAK vs TRAK2,diff_p3_n5,0.36584986159499866,-63.1221701419653,-69.12522164193717,16,28,0.5218602832838375,0.8906888509019747
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p3_n5,0.7568956203710853,0.03511154561300854,0.012428244566548174,16,28,0.4245081196213941,0.8094023236730823
TRAK isoform (mito),no TRAK vs TRAK2,diff_p4_n1,0.3394115246124433,-22.381942598247797,-27.060971593517024,16,28,0.46592718648726583,0.8476643978760064
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p4_n1,0.8297133576674213,0.1474791735391151,0.04901966716173319,16,28,0.40459865075516044,0.788928574406166
TRAK isoform (mito),no TRAK vs TRAK2,diff_p4_n2,0.322841862705915,-34.07579984050992,-39.250701655770214,16,28,0.5159277547616463,0.8865693167794239
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p4_n2,0.8385538329995603,0.09986524338337906,0.0328821051785979,16,28,0.38054558568676766,0.7623006159218222
TRAK isoform (mito),no TRAK vs TRAK2,diff_p4_n3,0.33807332728366885,-44.66930240201352,-50.544087766808886,16,28,0.5225873777562442,0.8911867727123165
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p4_n3,0.8354477514063819,0.07710920874872337,0.02518949370668639,16,28,0.3692135277231623,0.749015377935472
