sheet,pair,metric,d,p
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_20_35um_frac_pct,-0.6661191188245368,0.30945123055605384
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_20_35um_frac_pct,-0.9915786833340999,0.046603109548079225
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_35_55um_frac_pct,0.6569976388748703,0.24456752034592177
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_35_55um_frac_pct,0.8112992391215769,0.07235409908721924
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_mt_apex_elongation,0.43997689300791654,0.6306014506449475
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_mt_apex_elongation,0.5973437098116836,0.30514211300665417
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_mt_apex_lam_min_um2,0.03322594416366458,0.9998897361176314
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_mt_apex_lam_min_um2,-0.06165882187261765,0.9988279216119368
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_frac_pct,0.3618077292516449,0.39650621249606766
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_frac_pct,0.06954674181116906,0.99045050410594
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_perinuclear_5um_pct,-0.44196916231173433,0.4092418380918801
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_perinuclear_5um_pct,-0.7007460529275814,0.07442768483908935
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_peripheral_5um_pct,1.045927850992442,0.05264563046873827
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_peripheral_5um_pct,1.1071543275855469,0.020668868358770798
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_mean_dist_to_nucleus_um,0.49133896314925674,0.29872431863938087
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_mean_dist_to_nucleus_um,0.724744608915949,0.03709975700746848
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_y_gini,-1.2415151579154466,0.026058978225790952
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_y_gini,-1.4192610244273163,0.0005247937208198161
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_y_entropy,1.2270547517624422,0.036841468499396623
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_y_entropy,1.3532173477524265,0.001232715427501807
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_y_sd_um,1.1550563371091096,0.012174696951011033
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_y_sd_um,1.1892307816582341,0.003012661888453727
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_y_skew,0.8315470731298263,0.014699265103648829
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_y_skew,0.8957317085800052,0.002886571980630692
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_y_mean_um,-0.8465612323812626,0.04438170447544931
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_y_mean_um,-0.8521594629197975,0.03681900676942873
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_gini,-1.2305657868725073,0.03133434476540764
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_gini,-1.4790011684541584,0.0008372359024934051
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_entropy,1.226516232459368,0.037485961302573534
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_entropy,1.4368011098504705,0.001276742605802128
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_ks_vs_uniform,-1.607796811228177,0.007481308843463097
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_ks_vs_uniform,-1.4817934564833815,0.0012951002838726966
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_sd_um,1.1718159341778043,0.01747362993756596
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_sd_um,1.2754484103874886,0.004588075613751963
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_skew,-1.0458502740112072,0.011242509765835074
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_skew,-1.305870294289412,0.0005864937368758039
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_mean_um,0.9148760650206215,0.0364348575754625
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_mean_um,0.9843863698794917,0.017405027882200552
