sheet,metric,pair,n_i,n_j,mean_i,mean_j,diff,cohens_d,f_classical,p_classical_anova,t_classical_pair,p_classical_sidak,p_mixedlm_joint,p_mixedlm_sidak,var_plate,var_resid
MAPK9 siRNA,raw_perinuclear_inner_outer_ratio,ctrl Ars vs MAPK9 Ars,51,55,6.806670976357405,5.930836886474058,0.8758340898833472,0.13170270982239163,0.18402363081271894,0.9034891388240834,0.5176800893342804,0.6232068505747113,0.9172984283176777,0.6044387800577484,2.295770734864064,39.56942698262403
MAPK9 siRNA,den_midcyto_pct,ctrl Ars vs MAPK9 Ars,58,65,23.165707266312463,24.545021792408715,-1.3793145260962518,-0.13361657294072427,0.7666834504177452,0.5383162087457857,-0.527773428139985,0.6091669569679001,0.6211581044608803,0.6446322163042255,7.174069103738943,113.0568562647954
MAPK9 siRNA,den_peri_over_nuc,ctrl Ars vs MAPK9 Ars,58,65,0.05414741636435192,0.06772757871577229,-0.013580162351420365,-0.2899280852273999,12.494094277004976,0.0010182646739840652,-1.1256687181438652,0.28659603892750063,2.3545707198950444e-9,0.23304265543728997,9.92644138195154e-8,0.0038747048370307287
MAPK9 siRNA,den_peri_minus_nuc,ctrl Ars vs MAPK9 Ars,58,65,-69.47343727464174,-66.4087972093546,-3.0646400652871364,-0.24824591290983591,4.979848859211063,0.022875319889747725,-1.0235093321610322,0.3301889450819443,0.0025834195200141958,0.3085373138589651,7.726101231971193,169.72891510767028
MAPK9 siRNA,den_log2_peri_over_nuc,ctrl Ars vs MAPK9 Ars,58,65,-4.643332303649009,-4.187057525851851,-0.45627477779715786,-0.4276280095374716,7.9221550960449445,0.005350085051621807,-1.7941119087053456,0.1030353565347647,0.000012678528404852467,0.05255524269872869,0.05929770796860916,1.1099153436921119
MAPK9 siRNA,den_peripheral_share_pct,ctrl Ars vs MAPK9 Ars,58,65,4.96151744904153,6.184939605839756,-1.2234221567982262,-0.31871827591594826,11.659827305430905,0.0013269343456023552,-1.2495540350874885,0.23991682852732343,1.4323981659193331e-8,0.1827034705763244,0.24307689058959914,22.824006486342192
MAPK9 siRNA,den_polarization_angle_deg,ctrl Ars vs MAPK9 Ars,58,65,3.0863474754973876,3.8647242683273815,-0.7783767928299938,-0.29492154039323554,12.34364276662455,0.0010669774099787775,-1.147517743322432,0.2778797838704319,3.198331278637912e-9,0.2229957634637676,0.02360581826464741,11.969467146531898
MAPK9 siRNA,den_perinuclear_concentration,ctrl Ars vs MAPK9 Ars,52,55,0.4710439883893213,0.4794568971757861,-0.008412908786464779,-0.10808127770746492,0.31725849763057395,0.8129985832881423,-0.33616353845813934,0.7481923150664835,0.8725704838723694,0.7243102201146077,0.0006864352249233347,0.0062045002543540725
MAPK9 siRNA,den_peripheral_concentration,ctrl Ars vs MAPK9 Ars,52,55,0.14618661316146972,0.14280276480986628,0.0033838483516034357,0.05656475360814203,0.9834233265899865,0.46097957609928764,0.20686597895133302,0.8429562660982269,0.38338840221639287,0.8310889165832307,0.0002166030733414344,0.0037962362056912545
MAPK9 siRNA,den_perinuclear_inner_outer_ratio,ctrl Ars vs MAPK9 Ars,52,55,5.525935082593437,5.260537301870179,0.2653977807232577,0.0799868546388974,0.15646464867549795,0.9217472499041236,0.2803060288667247,0.7886564909956376,0.9605861711982806,0.7915038448810355,0.8451617735731934,10.5458029993116
TRAK2 S84 Ars,raw_perinuclear_1um,wt ctrl vs wt Ars,15,18,28.46057745174453,32.211270324688726,-3.750692872944196,-0.2368909542800261,1.0503461085286923,0.4620798565810139,-0.7898512259394714,0.47380216904868555,0.5852360787334059,0.539295181228721,0.000036167065502391916,282.7717207354966
TRAK2 S84 Ars,raw_peripheral_1um,wt ctrl vs wt Ars,15,18,0.1610160001086075,0.023303029487875594,0.1377129706207319,0.815007473912729,1.1107285115854881,0.44292778697956026,1.4254178154276549,0.22717029148553536,0.3207555212576026,0.16112528260926184,0.005100962666893574,0.03776549940310026
TRAK2 S84 Ars,den_perinuclear_1um,wt ctrl vs wt Ars,15,18,28.198828893965494,32.24593379393839,-4.047104899972897,-0.3286830771077996,1.2168195970653468,0.4119019720928474,-1.0588332103162454,0.3493792414844744,0.4999143301103207,0.39526872992483864,0.000030612057410536785,178.1582875823893
TRAK2 S84 Ars,den_peripheral_1um,wt ctrl vs wt Ars,15,18,0.7855284125170845,0.36848834084961574,0.41704007166746876,0.7095632034976496,1.4157435800830056,0.36156178019093543,1.5784793526992968,0.18959716653846137,0.28168222521207203,0.16259389654361023,0.03952627036436387,0.27211156351272736
TRAK2 S84 Ars,raw_perinuclear_2um,wt ctrl vs wt Ars,15,18,39.82035549093153,46.749563301109426,-6.929207810177893,-0.3589294616855723,1.357134743547731,0.3754301302603637,-1.291101327055027,0.26623107312003247,0.5053670166415787,0.33031347697233915,2.0919829365175206e-6,378.76676397753045
TRAK2 S84 Ars,raw_peripheral_2um,wt ctrl vs wt Ars,15,18,0.3741793228632056,0.06209149980931399,0.3120878230538916,0.7417125892474272,1.342883216854641,0.3789181277821519,1.6261891418352754,0.17923675249384274,0.25689397918934065,0.11684995099729945,0.017076784137752703,0.17374461723607001
